                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.75632,                0.63001,                0.87928,                0.66484,                 0.5636,                0.56372,                0.39607,                0.86469,                0.77183,                0.92901,             0.00024307,             0.00024307,             0.00024307
                     77,                0.75339,                0.62269,                0.88553,                0.68919,                0.55555,                0.56574,                0.40075,                0.85676,                0.77423,                0.92677,             0.00023407,             0.00023407,             0.00023407
                     78,                0.72748,                 0.5986,                0.86801,                0.70293,                0.51945,                0.55516,                0.39363,                0.86006,                0.78368,                0.92878,             0.00022507,             0.00022507,             0.00022507
                     79,                0.75101,                0.62463,                0.88287,                0.70189,                0.53671,                0.56205,                 0.4197,                0.87291,                0.79992,                0.92879,             0.00021607,             0.00021607,             0.00021607
                     80,                0.73913,                0.61321,                0.88455,                0.70947,                0.54008,                0.55074,                 0.4136,                0.86262,                0.79758,                0.92734,             0.00020707,             0.00020707,             0.00020707
                     81,                 0.7202,                 0.6131,                0.87664,                0.78337,                0.52474,                0.55765,                0.40751,                0.86636,                0.78578,                0.92867,             0.00019807,             0.00019807,             0.00019807
                     82,                0.72936,                0.60788,                0.87331,                0.66873,                0.56406,                0.56634,                0.42798,                0.87745,                 0.7802,                 0.9314,             0.00018907,             0.00018907,             0.00018907
                     83,                0.72596,                0.59552,                0.86824,                0.68967,                0.50938,                0.54973,                 0.4159,                 0.8684,                0.76526,                 0.9297,             0.00018007,             0.00018007,             0.00018007
                     84,                0.73474,                0.60422,                0.87351,                0.67202,                0.51103,                0.54359,                0.40557,                0.86445,                0.76158,                0.92871,             0.00017107,             0.00017107,             0.00017107
                     85,                0.73282,                0.60141,                0.87157,                0.68764,                0.50978,                0.54855,                0.40835,                0.86271,                 0.7501,                0.92678,             0.00016207,             0.00016207,             0.00016207
                     86,                0.73018,                0.61079,                 0.8717,                0.65467,                0.51429,                0.55046,                0.39917,                0.85299,                0.75089,                0.92552,             0.00015308,             0.00015308,             0.00015308
                     87,                0.72713,                0.59715,                0.87537,                0.68268,                0.51292,                0.54684,                0.39246,                0.85047,                0.75337,                0.92741,             0.00014408,             0.00014408,             0.00014408
                     88,                0.74648,                0.61266,                0.87968,                 0.6916,                0.51695,                0.52943,                0.37992,                0.85706,                0.75743,                0.93104,             0.00013508,             0.00013508,             0.00013508
                     89,                0.71723,                0.59597,                 0.8785,                0.59557,                0.56399,                 0.5433,                0.38393,                0.85649,                0.73914,                 0.9296,             0.00012608,             0.00012608,             0.00012608
                     90,                0.71641,                0.58175,                0.87178,                0.69204,                 0.5112,                0.55723,                0.39802,                0.85487,                0.73251,                0.92892,             0.00011708,             0.00011708,             0.00011708
                     91,                0.75822,                0.70639,                 0.8763,                0.62722,                0.55782,                0.55544,                0.40068,                0.84973,                0.74352,                  0.926,             0.00010808,             0.00010808,             0.00010808
                     92,                0.71988,                0.62616,                0.86172,                 0.6948,                0.48323,                0.53011,                0.37947,                0.84248,                0.75606,                0.92044,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                 0.7067,                0.61319,                0.85539,                0.74246,                0.46378,                0.53215,                0.38103,                0.85536,                0.78056,                0.92461,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.74475,                 0.6633,                0.85787,                0.78132,                0.46316,                0.52648,                0.38033,                0.87156,                0.78441,                0.92925,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.72832,                0.62879,                 0.8671,                0.71842,                0.48286,                0.52293,                0.36351,                0.87002,                0.76553,                0.92785,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.69599,                0.59606,                0.85997,                0.61487,                0.50364,                0.53368,                0.36703,                0.87394,                0.76252,                0.92867,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.69528,                0.58339,                 0.8582,                0.60391,                0.50716,                0.53777,                 0.3694,                0.86678,                0.75859,                0.92525,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                  0.693,                0.59581,                0.85017,                0.60973,                0.50662,                0.51683,                0.34641,                0.86288,                0.75985,                0.92357,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.70574,                0.59064,                0.85601,                0.60062,                0.50715,                0.51953,                0.35577,                0.86265,                0.76571,                0.92354,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.67684,                0.57795,                0.84575,                0.60717,                0.50669,                 0.5069,                0.35688,                0.85783,                0.76171,                0.92284,             2.7088e-05,             2.7088e-05,             2.7088e-05
